korean grade,PC1,PC2,PC3,PC4,PC5
1,-3.4228540915183427,-1.0437715684683073,-0.1483228826921179,0.17621990974515203,-0.23483729618156346
1,-3.2378100245623282,-1.2346552454302795,0.16872358906639312,0.22184440038044925,-0.1292252973468406
1,-3.680336156684407,-1.46838720775345,0.1261661187695097,0.4888179834632292,-0.5748932311297504
1,-3.730219322090252,-1.624482096212337,-0.10649774540675955,0.033584400757670954,-0.5297359654663761
1,-3.4184751423531305,-1.235650292858449,-0.14602012487093374,-0.1299425531295412,0.05820075205916985
1,-3.0342838577555504,-1.712886177810411,-0.26835358820287347,-0.0752030793585775,-0.3835561356528889
1,-2.903077462043579,-0.8951904871270372,-0.38609126064860494,0.1895390368704334,0.11394074444337486
1,-4.274145734724936,-1.729059551520336,0.10491079989024643,-0.1765294603038614,-0.7731668112757355
1,-2.7679118148671633,-1.4409987757518763,0.10563977982562264,0.3364459849838251,-0.19326620736084732
1,-3.229300644031233,-1.2088916706542865,0.4533373845366768,-0.45199254448641346,-0.6105517093302679
1,-3.7788242306397652,-1.0738303659595259,0.28137637374759245,0.40450586287553497,-0.22324677075479032
1,-3.9641389230872357,-1.6195669049392152,-0.21150203595645048,0.15764280596050417,-0.7233347362693483
1,-3.5295440753433147,-1.4099153134923097,-0.05011080697132489,-0.10802228317523689,-0.15520016126434508
1,-3.43379022641797,-1.603781576544596,-0.17933403051800378,-0.007145941614114465,-0.3926952677294779
1,-2.2664324050524587,-0.3670077845073863,-0.03189913639324876,-0.438137386851163,0.2944529218968064
1,-3.4702074093851683,-1.2547801665821239,0.6676395337013483,-0.07958380462680284,-0.5737000033546589
1,-3.860537939464143,-1.8112866131969316,0.5864479560584593,-0.6395539052894035,-0.9334831084352198
5,-0.04508479326238967,0.7634191257893771,0.09756463331555314,0.3551022237196478,0.5245963462581382
1,-3.147434119499962,-1.61522271063744,-0.04277354293451354,0.4020462546900564,-0.34017063604141273
1,-3.5342735513871135,-0.9303254891314584,-0.2541113679830106,0.46071357724597256,-0.11554189092401769
1,-3.8892194236378903,-1.3870421410855058,0.634894383669655,-0.5698830417862251,0.4723833389243337
1,-4.22824998412678,-1.7134773174892086,0.06249034664150333,0.0564377679851183,-0.7261897174767267
1,-3.8143600265231257,-1.2741236541556749,-0.19199550157693704,0.3202903433863889,-0.3618924501304176
1,-4.180363010437808,-1.4285790825854168,0.20822130686312337,-0.4046479556999469,-0.06855521332759142
1,-4.137743507579007,-1.559956280994418,0.6089245685743786,0.3917739641635904,-0.26297425274118125
1,-3.722492993180016,-1.6750216721742877,-0.18468110564942353,0.06312957430312595,-0.8992194907387774
1,-3.677987326286578,-1.4047783998734693,0.27443609464542745,0.11562589209139236,-0.1347663992983579
1,-3.394607589444684,-1.088441370891851,0.09116400213347474,0.4831674486292615,-0.29789135688369217
3,0.44598819204402035,0.24285456913481562,-0.5562810326327726,-0.1587315301374119,0.40656414733967755
4,2.7765417723236996,1.642041590164544,0.3405258056460177,-1.2859030904310695,0.10026933441667593
4,0.39600374978250313,0.27762184663306744,0.3475018470865975,-0.9043107073469193,-0.1914593956795391
4,-0.03300088846256737,1.0020606686639026,-0.06619335550991653,-0.31316580913748426,0.39898479482928784
4,1.1930177422682178,-0.034287543716905795,-0.16886472204553032,0.4657702927943303,-0.6246699103808517
4,-0.11352961134576144,0.48141516800093964,-0.6129958330529137,0.11215333329612744,-0.60300971784546
4,-0.011608907656021027,-0.3283398200210219,-0.6718538402197028,-0.9948074505054951,1.0136634871403132
4,2.935874484832964,0.7457044919490147,2.135482484955237,1.3034981618310244,2.1289007902784562
4,1.0808944359856896,-0.8719208618614093,0.13664846442628248,0.16817839284799793,0.6668975862234882
4,0.914569423638215,1.1684855662063955,-0.1264447818537769,-0.08017927056661786,0.5085891559569505
4,3.6554835305631754,0.325947644183702,-1.0526624383402716,-0.6237533925170082,0.4498827423914255
5,-2.1180066825236135,-0.06659408276137514,0.3706158602992076,-0.002065700446194906,0.09630382514305277
5,-3.296256252702082,-1.3692891039222441,-0.35782984494102127,0.005337490675067702,-1.0613619727114292
5,-1.8496394006905792,-1.1328033059678082,0.0696427356989168,-0.156892850996913,-1.2245021658304927
5,-0.6947030822294,0.461042914554339,-0.3571097124516279,-0.21652028254514985,1.2058076608347996
5,-2.6968029093346,-0.7863363439549702,0.3532273835448553,-0.03754325581908619,-0.37015060115779813
5,-0.788212824428693,-0.25408980359616284,0.3106682582433347,-0.10664260498581637,-0.32516508118105497
5,0.39388684291705156,0.3218303222251405,-0.30396152114567265,0.15356315358127373,-0.14398148382273074
